Transaction ID,Date,Product ID,Product Category,Quantity,Unit Price,Payment Method,Store Location,Customer Type,Total Price
TXN100000,2024-09-29,P2824,Groceries,4,39.17,Cash,Port Harcourt,Online,156.68
TXN100001,2024-04-18,P1409,Stationery,5,156.07,Debit Card,Abuja,Online,780.35
TXN100002,2025-04-25,P5506,Groceries,3,189.62,Mobile Payment,Kano,Online,568.86
TXN100003,2024-12-09,P5012,Groceries,5,24.59,Credit Card,Abuja,Walk-in,122.95
TXN100004,2023-09-28,P4657,Stationery,5,35.34,Credit Card,Ibadan,Online,176.7
TXN100005,2024-10-02,P3286,Books,2,192.2,Cash,Abuja,Walk-in,384.4
TXN100006,2024-10-14,P2679,Stationery,3,12.37,Debit Card,Kano,Online,37.11
TXN100007,2023-10-18,P9935,Clothing,3,195.64,Debit Card,Port Harcourt,Walk-in,586.92
TXN100008,2024-04-26,P2424,Books,3,5.91,Debit Card,Ibadan,Walk-in,17.73
TXN100009,2024-09-03,P7912,Stationery,5,175.37,Mobile Payment,Port Harcourt,Walk-in,876.85
TXN100010,2024-12-11,P1520,Clothing,4,64.93,Cash,Lagos,Online,259.72
TXN100011,2023-11-08,P1488,Home Decor,3,188.02,Debit Card,Enugu,Walk-in,564.06
TXN100012,2023-11-20,P2535,Groceries,5,66.8,Mobile Payment,Lagos,Walk-in,334.0
TXN100013,2023-07-27,P4582,Home Decor,2,132.59,Debit Card,Abuja,Online,265.18
TXN100014,2024-07-10,P4811,Groceries,4,20.61,Bank Transfer,Port Harcourt,Online,82.44
TXN100015,2025-03-16,P9279,Toys,2,52.25,Credit Card,Port Harcourt,Online,104.5
TXN100016,2023-08-19,P1434,Electronics,4,155.87,Credit Card,Enugu,Walk-in,623.48
TXN100017,2025-01-17,P4257,Toys,5,108.09,Debit Card,Port Harcourt,Walk-in,540.45
TXN100018,2025-06-10,P9928,Groceries,1,185.95,Cash,Lagos,Walk-in,185.95
TXN100019,2023-07-05,P7873,Groceries,4,88.61,Cash,Enugu,Walk-in,354.44
TXN100020,2024-02-06,P4611,Toys,2,174.61,Debit Card,Port Harcourt,Online,349.22
TXN100021,2024-04-01,P8359,Books,5,92.55,Bank Transfer,Enugu,Walk-in,462.75
TXN100022,2024-01-18,P5557,Stationery,4,195.95,Mobile Payment,Ibadan,Walk-in,783.8
TXN100023,2025-06-15,P1106,Electronics,1,192.17,Bank Transfer,Abuja,Online,192.17
TXN100024,2023-12-21,P3615,Electronics,1,69.18,Bank Transfer,Port Harcourt,Walk-in,69.18
TXN100025,2023-07-27,P7924,Home Decor,3,177.76,Mobile Payment,Kano,Online,533.28
TXN100026,2024-02-14,P6574,Groceries,3,170.28,Bank Transfer,Port Harcourt,Online,510.84
TXN100027,2025-02-05,P5552,Electronics,2,46.08,Debit Card,Abuja,Online,92.16
TXN100028,2024-01-13,P3547,Clothing,4,126.74,Credit Card,Port Harcourt,Walk-in,506.96
TXN100029,2024-05-04,P4527,Home Decor,4,19.17,Cash,Abuja,Walk-in,76.68
TXN100030,2024-08-12,P6514,Books,3,168.16,Credit Card,Port Harcourt,Walk-in,504.48
TXN100031,2024-01-18,P2674,Stationery,4,39.04,Cash,Ibadan,Walk-in,156.16
TXN100032,2024-01-23,P2519,Home Decor,4,18.81,Debit Card,Abuja,Walk-in,75.24
TXN100033,2025-02-06,P7224,Toys,1,83.04,Cash,Kano,Online,83.04
TXN100034,2024-03-21,P2584,Stationery,3,117.5,Bank Transfer,Kano,Online,352.5
TXN100035,2024-11-11,P6881,Home Decor,5,171.71,Debit Card,Ibadan,Online,858.55
TXN100036,2024-12-15,P6635,Books,3,194.98,Debit Card,Enugu,Walk-in,584.94
TXN100037,2025-04-09,P5333,Books,5,90.7,Credit Card,Port Harcourt,Walk-in,453.5
TXN100038,2023-11-17,P1711,Toys,1,16.79,Mobile Payment,Lagos,Online,16.79
TXN100039,2024-09-08,P8527,Home Decor,2,151.08,Mobile Payment,Kano,Walk-in,302.16
TXN100040,2024-10-07,P9785,Books,4,115.21,Mobile Payment,Ibadan,Online,460.84
TXN100041,2024-12-07,P3045,Home Decor,1,92.34,Mobile Payment,Kano,Walk-in,92.34
TXN100042,2024-09-14,P7201,Toys,4,65.31,Cash,Ibadan,Walk-in,261.24
TXN100043,2024-10-07,P2291,Books,2,102.97,Bank Transfer,Port Harcourt,Walk-in,205.94
TXN100044,2024-10-03,P5803,Clothing,2,71.04,Credit Card,Port Harcourt,Online,142.08
TXN100045,2024-03-26,P6925,Stationery,1,152.62,Cash,Kano,Online,152.62
TXN100046,2023-11-28,P4150,Books,2,111.06,Bank Transfer,Abuja,Walk-in,222.12
TXN100047,2024-05-08,P2139,Books,5,175.99,Debit Card,Kano,Online,879.95
TXN100048,2023-07-27,P1750,Toys,2,110.99,Bank Transfer,Port Harcourt,Online,221.98
TXN100049,2023-07-17,P4733,Stationery,4,51.46,Cash,Enugu,Online,205.84
TXN100050,2023-09-11,P5741,Toys,4,170.96,Cash,Ibadan,Walk-in,683.84
TXN100051,2023-08-27,P2307,Home Decor,4,113.66,Cash,Ibadan,Walk-in,454.64
TXN100052,2025-02-12,P4814,Stationery,4,45.33,Bank Transfer,Port Harcourt,Online,181.32
TXN100053,2023-08-04,P2654,Clothing,5,126.58,Mobile Payment,Ibadan,Online,632.9
TXN100054,2025-03-04,P7227,Books,3,74.75,Credit Card,Ibadan,Walk-in,224.25
TXN100055,2023-10-25,P5554,Home Decor,1,169.66,Cash,Abuja,Online,169.66
TXN100056,2024-05-16,P8428,Groceries,4,93.39,Debit Card,Port Harcourt,Walk-in,373.56
TXN100057,2024-04-27,P6977,Books,2,146.66,Credit Card,Lagos,Walk-in,293.32
TXN100058,2025-02-04,P3664,Stationery,4,23.63,Bank Transfer,Abuja,Walk-in,94.52
TXN100059,2025-01-11,P7065,Home Decor,2,82.22,Cash,Abuja,Online,164.44
TXN100060,2023-12-23,P6820,Groceries,2,196.73,Debit Card,Port Harcourt,Walk-in,393.46
TXN100061,2024-12-27,P4432,Stationery,4,162.65,Cash,Ibadan,Walk-in,650.6
TXN100062,2023-06-21,P5374,Electronics,5,36.19,Cash,Enugu,Walk-in,180.95
TXN100063,2023-12-10,P2169,Groceries,2,59.16,Debit Card,Port Harcourt,Online,118.32
TXN100064,2025-02-11,P3803,Electronics,2,69.31,Credit Card,Kano,Walk-in,138.62
TXN100065,2023-12-24,P9751,Books,4,131.82,Mobile Payment,Kano,Online,527.28
TXN100066,2023-07-26,P5010,Clothing,2,152.61,Mobile Payment,Enugu,Walk-in,305.22
TXN100067,2023-09-26,P3677,Stationery,2,151.16,Bank Transfer,Ibadan,Online,302.32
TXN100068,2024-02-14,P8573,Clothing,4,104.43,Mobile Payment,Lagos,Online,417.72
TXN100069,2025-06-16,P7216,Electronics,4,163.11,Credit Card,Lagos,Walk-in,652.44
TXN100070,2024-10-04,P5422,Books,1,90.23,Cash,Ibadan,Online,90.23
TXN100071,2024-06-05,P4598,Home Decor,5,29.16,Cash,Kano,Online,145.8
TXN100072,2024-10-04,P6313,Home Decor,5,115.07,Mobile Payment,Port Harcourt,Walk-in,575.35
TXN100073,2025-01-19,P1916,Home Decor,2,190.7,Bank Transfer,Abuja,Online,381.4
TXN100074,2023-09-22,P4752,Clothing,5,159.63,Cash,Abuja,Online,798.15
TXN100075,2025-03-11,P1525,Clothing,2,117.85,Bank Transfer,Kano,Walk-in,235.7
TXN100076,2025-05-12,P6168,Electronics,1,131.13,Mobile Payment,Enugu,Walk-in,131.13
TXN100077,2024-05-08,P7572,Clothing,4,186.46,Cash,Ibadan,Walk-in,745.84
TXN100078,2024-04-17,P5386,Home Decor,4,88.53,Cash,Abuja,Walk-in,354.12
TXN100079,2024-01-27,P2084,Groceries,4,69.62,Bank Transfer,Enugu,Online,278.48
TXN100080,2024-09-14,P4456,Stationery,5,195.56,Mobile Payment,Port Harcourt,Walk-in,977.8
TXN100081,2025-04-04,P6155,Electronics,1,173.37,Bank Transfer,Enugu,Walk-in,173.37
TXN100082,2024-10-30,P4483,Groceries,5,67.99,Debit Card,Ibadan,Online,339.95
TXN100083,2024-04-30,P9179,Home Decor,5,95.44,Mobile Payment,Kano,Walk-in,477.2
TXN100084,2023-09-09,P7482,Stationery,1,85.94,Debit Card,Port Harcourt,Online,85.94
TXN100085,2025-04-20,P8517,Toys,1,34.07,Credit Card,Abuja,Walk-in,34.07
TXN100086,2024-04-05,P3340,Stationery,1,191.77,Debit Card,Abuja,Walk-in,191.77
TXN100087,2024-10-14,P5339,Groceries,1,83.84,Mobile Payment,Enugu,Online,83.84
TXN100088,2025-04-03,P3287,Home Decor,4,175.69,Cash,Kano,Walk-in,702.76
TXN100089,2025-06-19,P5040,Stationery,3,41.92,Mobile Payment,Kano,Walk-in,125.76
TXN100090,2024-03-10,P9830,Books,3,111.83,Bank Transfer,Port Harcourt,Online,335.49
TXN100091,2025-01-04,P5304,Stationery,1,9.67,Cash,Ibadan,Online,9.67
TXN100092,2023-12-15,P8019,Stationery,3,154.02,Credit Card,Enugu,Walk-in,462.06
TXN100093,2024-01-22,P7543,Toys,3,118.28,Mobile Payment,Enugu,Online,354.84
TXN100094,2024-08-03,P6930,Groceries,1,126.99,Bank Transfer,Enugu,Walk-in,126.99
TXN100095,2023-08-31,P4593,Toys,3,15.09,Credit Card,Lagos,Online,45.27
TXN100096,2023-07-07,P3266,Stationery,5,46.15,Credit Card,Abuja,Online,230.75
TXN100097,2024-03-20,P9348,Clothing,2,19.49,Cash,Lagos,Walk-in,38.98
TXN100098,2024-09-20,P9085,Home Decor,2,61.34,Debit Card,Abuja,Online,122.68
TXN100099,2024-01-09,P2489,Groceries,1,127.35,Debit Card,Ibadan,Online,127.35
TXN100100,2025-03-11,P1771,Groceries,4,115.41,Credit Card,Enugu,Online,461.64
TXN100101,2024-09-15,P2796,Electronics,1,124.37,Credit Card,Port Harcourt,Online,124.37
TXN100102,2025-01-20,P3504,Groceries,4,112.1,Cash,Port Harcourt,Online,448.4
TXN100103,2024-04-04,P3621,Home Decor,2,58.24,Mobile Payment,Lagos,Online,116.48
TXN100104,2023-11-03,P7916,Clothing,1,52.68,Cash,Kano,Walk-in,52.68
TXN100105,2023-12-07,P2040,Home Decor,5,31.73,Cash,Lagos,Online,158.65
TXN100106,2024-05-29,P7304,Home Decor,3,170.57,Credit Card,Lagos,Walk-in,511.71
TXN100107,2024-12-12,P7252,Home Decor,4,125.21,Credit Card,Enugu,Walk-in,500.84
TXN100108,2023-12-14,P8668,Toys,3,41.37,Cash,Port Harcourt,Online,124.11
TXN100109,2024-02-05,P9669,Home Decor,3,39.56,Credit Card,Lagos,Walk-in,118.68
TXN100110,2024-06-03,P5119,Clothing,1,175.24,Bank Transfer,Port Harcourt,Online,175.24
TXN100111,2024-08-18,P1188,Groceries,3,149.83,Mobile Payment,Enugu,Online,449.49
TXN100112,2023-08-16,P2876,Home Decor,5,133.58,Debit Card,Ibadan,Online,667.9
TXN100113,2024-05-25,P9797,Groceries,3,84.34,Debit Card,Lagos,Walk-in,253.02
TXN100114,2025-04-05,P5371,Home Decor,1,56.09,Cash,Abuja,Walk-in,56.09
TXN100115,2024-07-23,P6573,Electronics,5,195.99,Debit Card,Port Harcourt,Walk-in,979.95
TXN100116,2023-08-17,P2827,Groceries,2,160.46,Credit Card,Abuja,Online,320.92
TXN100117,2024-08-01,P5808,Groceries,3,63.85,Credit Card,Kano,Walk-in,191.55
TXN100118,2023-10-18,P8123,Toys,1,170.28,Debit Card,Enugu,Walk-in,170.28
TXN100119,2024-08-01,P3591,Electronics,2,152.99,Cash,Ibadan,Walk-in,305.98
TXN100120,2023-10-27,P8433,Clothing,2,62.93,Cash,Port Harcourt,Walk-in,125.86
TXN100121,2025-06-01,P1053,Clothing,4,88.18,Debit Card,Kano,Walk-in,352.72
TXN100122,2023-11-21,P5315,Electronics,5,41.26,Credit Card,Port Harcourt,Online,206.3
TXN100123,2024-02-06,P9201,Clothing,3,26.66,Cash,Abuja,Online,79.98
TXN100124,2025-02-16,P3927,Home Decor,1,145.94,Mobile Payment,Ibadan,Online,145.94
TXN100125,2023-08-31,P9317,Home Decor,4,57.16,Mobile Payment,Enugu,Online,228.64
TXN100126,2025-01-24,P2743,Toys,5,164.91,Mobile Payment,Port Harcourt,Walk-in,824.55
TXN100127,2024-11-05,P5889,Stationery,4,199.14,Cash,Lagos,Online,796.56
TXN100128,2024-09-17,P9317,Home Decor,5,19.94,Cash,Ibadan,Walk-in,99.7
TXN100129,2024-08-25,P4258,Electronics,5,97.24,Debit Card,Abuja,Walk-in,486.2
TXN100130,2024-11-11,P3504,Books,3,161.4,Cash,Ibadan,Online,484.2
TXN100131,2024-09-21,P7126,Clothing,5,158.85,Debit Card,Enugu,Online,794.25
TXN100132,2023-11-09,P3646,Clothing,4,153.2,Debit Card,Kano,Walk-in,612.8
TXN100133,2025-01-14,P9837,Stationery,5,73.05,Bank Transfer,Kano,Online,365.25
TXN100134,2023-12-15,P9689,Books,3,93.5,Bank Transfer,Ibadan,Walk-in,280.5
TXN100135,2024-11-22,P1009,Books,3,121.02,Credit Card,Abuja,Online,363.06
